venue,innings,batting_team,bowling_team,total_runs
"Rajiv Gandhi International Stadium, Uppal",1,Kings XI Punjab,Sunrisers Hyderabad,35
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Kings XI Punjab,65
Saurashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Gujarat Lions,50
Saurashtra Cricket Association Stadium,2,Gujarat Lions,Royal Challengers Bangalore,68
Maharashtra Cricket Association Stadium,1,Rising Pune Supergiants,Kolkata Knight Riders,31
Maharashtra Cricket Association Stadium,2,Kolkata Knight Riders,Rising Pune Supergiants,59
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Mumbai Indians,Kings XI Punjab,39
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kings XI Punjab,Mumbai Indians,40
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Rising Pune Supergiants,27
"Rajiv Gandhi International Stadium, Uppal",2,Rising Pune Supergiants,Sunrisers Hyderabad,46
Feroz Shah Kotla,1,Gujarat Lions,Delhi Daredevils,71
Feroz Shah Kotla,2,Delhi Daredevils,Gujarat Lions,22
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,59
Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,64
Maharashtra Cricket Association Stadium,1,Rising Pune Supergiants,Gujarat Lions,48
Maharashtra Cricket Association Stadium,2,Gujarat Lions,Rising Pune Supergiants,72
Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,37
Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Daredevils,43
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Royal Challengers Bangalore,49
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Sunrisers Hyderabad,45
Saurashtra Cricket Association Stadium,1,Kings XI Punjab,Gujarat Lions,59
Saurashtra Cricket Association Stadium,2,Gujarat Lions,Kings XI Punjab,36
Maharashtra Cricket Association Stadium,1,Rising Pune Supergiants,Mumbai Indians,54
Maharashtra Cricket Association Stadium,2,Mumbai Indians,Rising Pune Supergiants,47
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,40
M Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,37
Saurashtra Cricket Association Stadium,1,Gujarat Lions,Delhi Daredevils,35
Saurashtra Cricket Association Stadium,2,Delhi Daredevils,Gujarat Lions,61
Eden Gardens,1,Kolkata Knight Riders,Kings XI Punjab,40
Eden Gardens,2,Kings XI Punjab,Kolkata Knight Riders,37
Feroz Shah Kotla,1,Delhi Daredevils,Rising Pune Supergiants,48
Feroz Shah Kotla,2,Rising Pune Supergiants,Delhi Daredevils,50
"Rajiv Gandhi International Stadium, Uppal",1,Gujarat Lions,Sunrisers Hyderabad,26
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Gujarat Lions,38
M Chinnaswamy Stadium,1,Rising Pune Supergiants,Royal Challengers Bangalore,60
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rising Pune Supergiants,46
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Delhi Daredevils,45
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Delhi Daredevils,Kings XI Punjab,51
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Mumbai Indians,51
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Mumbai Indians,Sunrisers Hyderabad,32
Eden Gardens,1,Kolkata Knight Riders,Gujarat Lions,28
Eden Gardens,2,Gujarat Lions,Kolkata Knight Riders,46
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Royal Challengers Bangalore,Kings XI Punjab,56
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kings XI Punjab,Royal Challengers Bangalore,50
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Rising Pune Supergiants,34
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rising Pune Supergiants,Sunrisers Hyderabad,25
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,25
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,39
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Delhi Daredevils,51
"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Sunrisers Hyderabad,49
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Mumbai Indians,Kings XI Punjab,21
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Kings XI Punjab,Mumbai Indians,31
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Gujarat Lions,42
M Chinnaswamy Stadium,2,Gujarat Lions,Royal Challengers Bangalore,40
Eden Gardens,1,Rising Pune Supergiants,Kolkata Knight Riders,37
Eden Gardens,2,Kolkata Knight Riders,Rising Pune Supergiants,66
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Sunrisers Hyderabad,47
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Sunrisers Hyderabad,Kings XI Punjab,55
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Mumbai Indians,Delhi Daredevils,45
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Delhi Daredevils,Mumbai Indians,49
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,51
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,63
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Delhi Daredevils,Rising Pune Supergiants,28
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rising Pune Supergiants,Delhi Daredevils,40
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,63
M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,57
Green Park,1,Kolkata Knight Riders,Gujarat Lions,40
Green Park,2,Gujarat Lions,Kolkata Knight Riders,54
Shaheed Veer Narayan Singh International Stadium,1,Sunrisers Hyderabad,Delhi Daredevils,46
Shaheed Veer Narayan Singh International Stadium,2,Delhi Daredevils,Sunrisers Hyderabad,37
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Kings XI Punjab,Rising Pune Supergiants,52
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rising Pune Supergiants,Kings XI Punjab,44
Green Park,1,Mumbai Indians,Gujarat Lions,49
Green Park,2,Gujarat Lions,Mumbai Indians,70
Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,48
Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,48
Shaheed Veer Narayan Singh International Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,43
Shaheed Veer Narayan Singh International Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,49
M Chinnaswamy Stadium,1,Gujarat Lions,Royal Challengers Bangalore,23
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Gujarat Lions,31
Feroz Shah Kotla,1,Sunrisers Hyderabad,Kolkata Knight Riders,42
Feroz Shah Kotla,2,Kolkata Knight Riders,Sunrisers Hyderabad,46
Feroz Shah Kotla,1,Gujarat Lions,Sunrisers Hyderabad,38
Feroz Shah Kotla,2,Sunrisers Hyderabad,Gujarat Lions,46
M Chinnaswamy Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,53
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,59
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Royal Challengers Bangalore,59
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Sunrisers Hyderabad,54
Maharashtra Cricket Association Stadium,1,Mumbai Indians,Rising Pune Supergiant,61
Maharashtra Cricket Association Stadium,2,Rising Pune Supergiant,Mumbai Indians,59
Saurashtra Cricket Association Stadium,1,Gujarat Lions,Kolkata Knight Riders,52
Saurashtra Cricket Association Stadium,2,Kolkata Knight Riders,Gujarat Lions,73
Holkar Cricket Stadium,1,Rising Pune Supergiant,Kings XI Punjab,35
Holkar Cricket Stadium,2,Kings XI Punjab,Rising Pune Supergiant,56
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,41
M.Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,43
"Rajiv Gandhi International Stadium, Uppal",1,Gujarat Lions,Sunrisers Hyderabad,40
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Gujarat Lions,59
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,56
Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,48
Holkar Cricket Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,23
Holkar Cricket Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,62
Maharashtra Cricket Association Stadium,1,Delhi Daredevils,Rising Pune Supergiant,61
Maharashtra Cricket Association Stadium,2,Rising Pune Supergiant,Delhi Daredevils,49
Wankhede Stadium,1,Sunrisers Hyderabad,Mumbai Indians,34
Wankhede Stadium,2,Mumbai Indians,Sunrisers Hyderabad,61
Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,57
Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,76
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,41
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,21
Saurashtra Cricket Association Stadium,1,Rising Pune Supergiant,Gujarat Lions,64
Saurashtra Cricket Association Stadium,2,Gujarat Lions,Rising Pune Supergiant,61
Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,40
Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,45
Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,49
Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,40
Wankhede Stadium,1,Gujarat Lions,Mumbai Indians,46
Wankhede Stadium,2,Mumbai Indians,Gujarat Lions,56
M Chinnaswamy Stadium,1,Rising Pune Supergiant,Royal Challengers Bangalore,54
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rising Pune Supergiant,42
Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,53
Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Daredevils,49
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kings XI Punjab,29
"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Sunrisers Hyderabad,47
Saurashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Gujarat Lions,45
Saurashtra Cricket Association Stadium,2,Gujarat Lions,Royal Challengers Bangalore,57
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Delhi Daredevils,39
"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Sunrisers Hyderabad,56
Holkar Cricket Stadium,1,Kings XI Punjab,Mumbai Indians,46
Holkar Cricket Stadium,2,Mumbai Indians,Kings XI Punjab,81
Eden Gardens,1,Kolkata Knight Riders,Gujarat Lions,65
Eden Gardens,2,Gujarat Lions,Kolkata Knight Riders,72
Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,48
Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,22
Maharashtra Cricket Association Stadium,1,Sunrisers Hyderabad,Rising Pune Supergiant,45
Maharashtra Cricket Association Stadium,2,Rising Pune Supergiant,Sunrisers Hyderabad,55
Saurashtra Cricket Association Stadium,1,Kings XI Punjab,Gujarat Lions,50
Saurashtra Cricket Association Stadium,2,Gujarat Lions,Kings XI Punjab,50
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,65
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,39
Wankhede Stadium,1,Rising Pune Supergiant,Mumbai Indians,48
Wankhede Stadium,2,Mumbai Indians,Rising Pune Supergiant,44
Maharashtra Cricket Association Stadium,1,Rising Pune Supergiant,Kolkata Knight Riders,57
Maharashtra Cricket Association Stadium,2,Kolkata Knight Riders,Rising Pune Supergiant,45
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Gujarat Lions,35
M Chinnaswamy Stadium,2,Gujarat Lions,Royal Challengers Bangalore,49
Eden Gardens,1,Delhi Daredevils,Kolkata Knight Riders,53
Eden Gardens,2,Kolkata Knight Riders,Delhi Daredevils,47
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Sunrisers Hyderabad,Kings XI Punjab,60
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kings XI Punjab,Sunrisers Hyderabad,59
Maharashtra Cricket Association Stadium,1,Rising Pune Supergiant,Royal Challengers Bangalore,43
Maharashtra Cricket Association Stadium,2,Royal Challengers Bangalore,Rising Pune Supergiant,39
Saurashtra Cricket Association Stadium,1,Gujarat Lions,Mumbai Indians,48
Saurashtra Cricket Association Stadium,2,Mumbai Indians,Gujarat Lions,61
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Delhi Daredevils,Kings XI Punjab,25
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kings XI Punjab,Delhi Daredevils,49
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kolkata Knight Riders,78
"Rajiv Gandhi International Stadium, Uppal",2,Kolkata Knight Riders,Sunrisers Hyderabad,44
Wankhede Stadium,1,Royal Challengers Bangalore,Mumbai Indians,52
Wankhede Stadium,2,Mumbai Indians,Royal Challengers Bangalore,55
Maharashtra Cricket Association Stadium,1,Gujarat Lions,Rising Pune Supergiant,55
Maharashtra Cricket Association Stadium,2,Rising Pune Supergiant,Gujarat Lions,43
Feroz Shah Kotla,1,Sunrisers Hyderabad,Delhi Daredevils,66
Feroz Shah Kotla,2,Delhi Daredevils,Sunrisers Hyderabad,62
Eden Gardens,1,Kolkata Knight Riders,Rising Pune Supergiant,41
Eden Gardens,2,Rising Pune Supergiant,Kolkata Knight Riders,70
Feroz Shah Kotla,1,Gujarat Lions,Delhi Daredevils,58
Feroz Shah Kotla,2,Delhi Daredevils,Gujarat Lions,63
M Chinnaswamy Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,35
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,46
"Rajiv Gandhi International Stadium, Uppal",1,Rising Pune Supergiant,Sunrisers Hyderabad,34
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Rising Pune Supergiant,47
Feroz Shah Kotla,1,Mumbai Indians,Delhi Daredevils,56
Feroz Shah Kotla,2,Delhi Daredevils,Mumbai Indians,35
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,40
M Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,105
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Gujarat Lions,44
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Gujarat Lions,Kings XI Punjab,58
"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Sunrisers Hyderabad,36
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Mumbai Indians,43
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Kolkata Knight Riders,41
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kolkata Knight Riders,Kings XI Punjab,61
Green Park,1,Gujarat Lions,Delhi Daredevils,50
Green Park,2,Delhi Daredevils,Gujarat Lions,64
Wankhede Stadium,1,Kings XI Punjab,Mumbai Indians,71
Wankhede Stadium,2,Mumbai Indians,Kings XI Punjab,68
Feroz Shah Kotla,1,Delhi Daredevils,Rising Pune Supergiant,54
Feroz Shah Kotla,2,Rising Pune Supergiant,Delhi Daredevils,52
Green Park,1,Gujarat Lions,Sunrisers Hyderabad,61
Green Park,2,Sunrisers Hyderabad,Gujarat Lions,47
Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,51
Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,53
Maharashtra Cricket Association Stadium,1,Kings XI Punjab,Rising Pune Supergiant,32
Maharashtra Cricket Association Stadium,2,Rising Pune Supergiant,Kings XI Punjab,43
Feroz Shah Kotla,1,Royal Challengers Bangalore,Delhi Daredevils,37
Feroz Shah Kotla,2,Delhi Daredevils,Royal Challengers Bangalore,42
Wankhede Stadium,1,Rising Pune Supergiant,Mumbai Indians,33
Wankhede Stadium,2,Mumbai Indians,Rising Pune Supergiant,42
M Chinnaswamy Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,30
M Chinnaswamy Stadium,2,Kolkata Knight Riders,Sunrisers Hyderabad,48
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Mumbai Indians,25
M Chinnaswamy Stadium,2,Mumbai Indians,Kolkata Knight Riders,36
"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Rising Pune Supergiant,32
"Rajiv Gandhi International Stadium, Uppal",2,Rising Pune Supergiant,Mumbai Indians,38
Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,39
Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,42
Punjab Cricket Association IS Bindra Stadium,1,Delhi Daredevils,Kings XI Punjab,45
Punjab Cricket Association IS Bindra Stadium,2,Kings XI Punjab,Delhi Daredevils,73
Eden Gardens,1,Royal Challengers Bangalore,Kolkata Knight Riders,52
Eden Gardens,2,Kolkata Knight Riders,Royal Challengers Bangalore,67
Rajiv Gandhi International Stadium,1,Rajasthan Royals,Sunrisers Hyderabad,48
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Rajasthan Royals,53
MA Chidambaram Stadium,1,Kolkata Knight Riders,Chennai Super Kings,64
MA Chidambaram Stadium,2,Chennai Super Kings,Kolkata Knight Riders,75
Sawai Mansingh Stadium,1,Rajasthan Royals,Delhi Daredevils,51
Sawai Mansingh Stadium,2,Delhi Daredevils,Rajasthan Royals,60
Rajiv Gandhi International Stadium,1,Mumbai Indians,Sunrisers Hyderabad,54
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Mumbai Indians,56
M.Chinnaswamy Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,50
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,41
Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,84
Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,53
Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,49
Eden Gardens,2,Sunrisers Hyderabad,Kolkata Knight Riders,46
M.Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,51
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,62
Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Chennai Super Kings,75
Punjab Cricket Association IS Bindra Stadium,2,Chennai Super Kings,Kings XI Punjab,53
Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,50
Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,56
Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,60
Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,55
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,48
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,53
Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Sunrisers Hyderabad,49
Punjab Cricket Association IS Bindra Stadium,2,Sunrisers Hyderabad,Kings XI Punjab,40
Maharashtra Cricket Association Stadium,1,Chennai Super Kings,Rajasthan Royals,69
Maharashtra Cricket Association Stadium,2,Rajasthan Royals,Chennai Super Kings,35
Eden Gardens,1,Kolkata Knight Riders,Kings XI Punjab,49
Eden Gardens,2,Kings XI Punjab,Kolkata Knight Riders,73
M.Chinnaswamy Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,28
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,43
Rajiv Gandhi International Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,27
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Chennai Super Kings,40
Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,43
Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,43
Arun Jaitley Stadium,1,Kings XI Punjab,Delhi Daredevils,51
Arun Jaitley Stadium,2,Delhi Daredevils,Kings XI Punjab,48
Wankhede Stadium,1,Sunrisers Hyderabad,Mumbai Indians,51
Wankhede Stadium,2,Mumbai Indians,Sunrisers Hyderabad,22
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,52
M.Chinnaswamy Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,55
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Kings XI Punjab,37
Rajiv Gandhi International Stadium,2,Kings XI Punjab,Sunrisers Hyderabad,44
Arun Jaitley Stadium,1,Delhi Daredevils,Kolkata Knight Riders,57
Arun Jaitley Stadium,2,Kolkata Knight Riders,Delhi Daredevils,51
Maharashtra Cricket Association Stadium,1,Chennai Super Kings,Mumbai Indians,51
Maharashtra Cricket Association Stadium,2,Mumbai Indians,Chennai Super Kings,50
Sawai Mansingh Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,39
Sawai Mansingh Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,43
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,40
M.Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,51
Maharashtra Cricket Association Stadium,1,Chennai Super Kings,Delhi Daredevils,56
Maharashtra Cricket Association Stadium,2,Delhi Daredevils,Chennai Super Kings,59
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,43
M.Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,40
Arun Jaitley Stadium,1,Delhi Daredevils,Rajasthan Royals,62
Arun Jaitley Stadium,2,Rajasthan Royals,Delhi Daredevils,79
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,57
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,56
Holkar Cricket Stadium,1,Kings XI Punjab,Mumbai Indians,49
Holkar Cricket Stadium,2,Mumbai Indians,Kings XI Punjab,39
Maharashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,47
Maharashtra Cricket Association Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,42
Rajiv Gandhi International Stadium,1,Delhi Daredevils,Sunrisers Hyderabad,60
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Delhi Daredevils,55
Wankhede Stadium,1,Mumbai Indians,Kolkata Knight Riders,56
Wankhede Stadium,2,Kolkata Knight Riders,Mumbai Indians,47
Holkar Cricket Stadium,1,Rajasthan Royals,Kings XI Punjab,45
Holkar Cricket Stadium,2,Kings XI Punjab,Rajasthan Royals,34
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,38
Rajiv Gandhi International Stadium,2,Royal Challengers Bangalore,Sunrisers Hyderabad,55
Sawai Mansingh Stadium,1,Rajasthan Royals,Kings XI Punjab,63
Sawai Mansingh Stadium,2,Kings XI Punjab,Rajasthan Royals,33
Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,47
Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,47
Arun Jaitley Stadium,1,Delhi Daredevils,Sunrisers Hyderabad,38
Arun Jaitley Stadium,2,Sunrisers Hyderabad,Delhi Daredevils,51
Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,55
Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,57
Holkar Cricket Stadium,1,Kolkata Knight Riders,Kings XI Punjab,59
Holkar Cricket Stadium,2,Kings XI Punjab,Kolkata Knight Riders,58
Arun Jaitley Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,44
Arun Jaitley Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,58
Maharashtra Cricket Association Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,28
Maharashtra Cricket Association Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,53
Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,51
Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,51
Holkar Cricket Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,47
Holkar Cricket Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,66
Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,68
Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,50
Wankhede Stadium,1,Mumbai Indians,Kings XI Punjab,60
Wankhede Stadium,2,Kings XI Punjab,Mumbai Indians,57
M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,44
M.Chinnaswamy Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,56
Arun Jaitley Stadium,1,Delhi Daredevils,Chennai Super Kings,39
Arun Jaitley Stadium,2,Chennai Super Kings,Delhi Daredevils,44
Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,45
Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,55
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,59
Rajiv Gandhi International Stadium,2,Kolkata Knight Riders,Sunrisers Hyderabad,66
Arun Jaitley Stadium,1,Delhi Daredevils,Mumbai Indians,46
Arun Jaitley Stadium,2,Mumbai Indians,Delhi Daredevils,55
Maharashtra Cricket Association Stadium,1,Kings XI Punjab,Chennai Super Kings,29
Maharashtra Cricket Association Stadium,2,Chennai Super Kings,Kings XI Punjab,33
Wankhede Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,47
Wankhede Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,33
Eden Gardens,1,Kolkata Knight Riders,Rajasthan Royals,46
Eden Gardens,2,Rajasthan Royals,Kolkata Knight Riders,51
Eden Gardens,1,Sunrisers Hyderabad,Kolkata Knight Riders,45
Eden Gardens,2,Kolkata Knight Riders,Sunrisers Hyderabad,67
Wankhede Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,41
Wankhede Stadium,2,Chennai Super Kings,Sunrisers Hyderabad,34
MA Chidambaram Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,33
MA Chidambaram Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,16
Eden Gardens,1,Sunrisers Hyderabad,Kolkata Knight Riders,54
Eden Gardens,2,Kolkata Knight Riders,Sunrisers Hyderabad,47
Wankhede Stadium,1,Delhi Capitals,Mumbai Indians,45
Wankhede Stadium,2,Mumbai Indians,Delhi Capitals,46
Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,32
Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,64
Arun Jaitley Stadium,1,Delhi Capitals,Chennai Super Kings,43
Arun Jaitley Stadium,2,Chennai Super Kings,Delhi Capitals,58
Eden Gardens,1,Kolkata Knight Riders,Kings XI Punjab,53
Eden Gardens,2,Kings XI Punjab,Kolkata Knight Riders,51
M.Chinnaswamy Stadium,1,Mumbai Indians,Royal Challengers Bangalore,52
M.Chinnaswamy Stadium,2,Royal Challengers Bangalore,Mumbai Indians,60
Rajiv Gandhi International Stadium,1,Rajasthan Royals,Sunrisers Hyderabad,35
Rajiv Gandhi International Stadium,2,Sunrisers Hyderabad,Rajasthan Royals,69
